id,product,issue,narrative,state,date
9146770,Credit card,Problem with a company's investigation into an existing problem,"XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXX XXXX Card XXXX XXXX XXXX XXXX, DE XXXX XX/XX/year> Re : Account number : XXXX I was advised to write to you by your customer service department concerning my credit rating with your company. I have enjoyed a credit account with yout company for many years. During the course of our business association, I have honored and respected my account agreement to the fullest. I appreciate how wonderful your service has always been. 
Unfortunately, 2 years ago, I was in a financial dilemma due to job loss and multiple health issues. As a result some of my payments to you were delayed. Because your account with me is extremely important I managed to borrow the money to cover the late payments. I paid those payments 30 days late on three occasions over a nine-month period but I made sure to fulfill my obligation to ensure that your company suffered no loss. 
I am thankful and appreciative for the years of positive credit history that I have obtained through your company but now those 3 late marks on my credit reports are causing me tremendous stress. I am trying to move up to a better paid position at my work, but the negative remarks are hurting my efforts. 
This is where my "" Goodwill Request '' comes in. I desperately need this promotion and I would be extremely appreciative if you would please complete a XXXX XXXX XXXX XXXX XXXX and fax it to the credit bureaus to remove those entries. 
The credit bureaus have advised me that they will report anything as instructed to by you, but they need to have that instruction in writing. I beg that you may help me and take into consideration how good of a customer I have been and how long I have had an account with you. 

Thank you for your consideration, and I hope youll approve my request. 

Best, XXXX XXXX",CA,2024-05-31
17987380,"Money transfer, virtual currency, or money service",Other transaction problem,"Issue : Chase is repeatedly blocking a lawful, documented high-value wire transfer and preventing access to my own funds while I am abroad, despite full identity verification and compliance.

I am a non-resident Chase client and I opened my checking account in person at a Chase branch in XXXX, Texas. I have always used the account appropriately, and I currently have a sufficient available balance to make a lawful gift to my son, who is a XXXX XXXX  and is purchasing a home in XXXX. 

I received USD XXXX in my Chase checking account through an international transfer from my bank in XXXX. My intention is to transfer these funds to my son as a documented gift toward the purchase of his home. I have full documentation supporting the legitimacy of the funds, including : the gift agreement in XXXX and XXXX, proof of payment of XXXX gift tax ( XXXX  ), evidence of the incoming international transfer to Chase, and proof of the lawful source of the funds.

Chase has repeatedly canceled my wire transfer attempts of USD XXXX ( the maximum limit temporarily authorized by my branch ). On multiple attempts, the transaction is immediately flagged as fraud and reversed. After each cancellation, I have completed the identity verification process, answered all security questions, and confirmed the purpose of the transfer. Despite this, every wire continues to be blocked. 

My branch manager and the branch general manager have attempted to assist, but they stated that they do not have the authority to override or escalate the fraud hold. They advised me to appear in person at a XXXX branch, which is impossible because I am presently outside the United States and will not return before the end of the year. I urgently need to complete this transfer because the closing on my sons home is approaching, and he can not complete the purchase without these funds. 

Chase is effectively preventing me from accessing and transferring my own lawfully obtained money, despite full documentation and repeated identity verification. This has placed me at significant financial risk and is causing substantial harm.

I respectfully request the CFPBs intervention so that Chase : Conducts a prompt and fair review of the repeated wire cancellations ; Removes the improper fraud hold ; Allows me to complete the transfer while abroad, through any identity verification method Chase deems appropriate ( video call, secure digital form, or phone confirmation ) ; Ensures that my lawful access to my own funds is restored.

Thank you for your assistance.",,2025-11-28
17917513,Checking or savings account,Managing an account,I called chase bank when I noticed fraud on my account. Somebody came and withdraw all my money from the account. Chase will not help me get my money back. I'm facing financial hardship.I do not have no money to pay for my utilities or food for thanksgiving. I'm requesting chase to investigate and give me my money back. I don't even have money to pay for my meds or my wife 's medication. We are both have a XXXX. Chase is not helping me,FL,2025-11-25
11595427,Checking or savings account,Managing an account,"I had a checking account with Chase bank. 
I received in XX/XX/XXXX wire from pony girlfriend who live away. They decided on the XXXX Of XXXX that it was a fraud. I tried to explain To them numerous times that it was not. 
It was supposed to be resolved the the XXXX of XXXX. But when I contacted them on the XXXX They told me it was still investigated. They call On Monday the XXXX of XXXX. But again same Answer. I call them numerous time last week. 
But no answer. Their customer service on fraud is very defective. I receive different answer from The people who I talk to. XXXX told me XXXX moth XXXX. XXXX. I really need to clarified that and get money back, to pay my bill that I could not do. 
I am intending a tremendous amount of stress",AZ,2025-01-19
10206368,Credit card,"Other features, terms, or problems","I have the Chase United Explorer card that said it provided 2 passes to the United Club every year, and notes the passes are good for a year. The card fee is {$95.00}. I specifically get the card for this purpose as the passes cost more than {$95.00}. I do not keep a balance on the card or need it for credit purposes, and I dont care about the miles earned on purchases as this is not my primary card. 
I saved the passes knowing I was taking one international trip on United and tried to use them today. We were denied access to the lounge- they said it was full but continued to let other people with memberships in. I called Chase to ask to have the passes extended ( they expire on XX/XX/XXXX ) as Im not travelling home until XX/XX/XXXX, and they said they couldnt and I should have used the passes earlier. The is a clear case of completely misleading advertising - the passes are actually worthless.",NJ,2024-09-22
16046517,Credit reporting or other personal consumer reports,Incorrect information on your report,"JPMorganChase reported my account as charged off in error to the XXXX XXXX XXXX. this prevent me from opening any checking/saving account, my credit card account was blocked and causing emotional and financial problems for me and my children. 
I contacted them. The branch manage who knew me and was familiar with my account, wrote me a letter explaining that the report was in error but the Chase executive office is refusing to remove the remove the report.",UT,2025-09-19
16313893,Mortgage,Closing on a mortgage,"I am writing to formally express my extreme dissatisfaction and frustration regarding an outstanding refund related to a mortgage application that did not proceed, and the lack of resolution from Chase 's mortgage services. My husband and so applied to another lender but checked with Chase for a cheaper rate on XX/XX/year>. XXXX XXXX advised we could still close on the home by an XX/XX/year>, if we switched with Chase. 

Our loan application was ultimately dissolved due to a water damage issue identified during the property walkthrough on XX/XX/year>. Following this, I was assured that a refund of the initial {$650.00} would be processed, minus an {$82.00} fee for the credit report. XXXX XXXX, and XXXX XXXX advised I would received in a few weeks from XX/XX/year> following the dissolved loan agreement. Yet all XXXX received were countless emails and no refund. 

Since XX/XX/year>, I have made numerous attempts to secure this refund. I have engaged in multiple telephone conversations with various representatives at Chase bank, including XXXX, XXXX XXXX, and XXXX XXXX, all concerning the return of these funds. Each time, I was given assurances that the refund was being processed and would be completed, with an initial timeline suggesting completion within two weeks, and later, a six-week period. These deadlines have repeatedly passed without action. 

My most recent attempt to resolve this issue was this morning XX/XX/year>, when I contacted Chase escalations department and spoke with XXXX. Regrettably, XXXX indicated that his capacity was limited to contacting the mortgage team, and he could not directly facilitate the refund. This ongoing cycle of communication without resolution is unacceptable. XXXX advised since it went to escalations it is out of the mortgage teams hands. This is not what escalations advised this morning. I am tired of the lies. XXXX XXXX was emailed on XX/XX/year>, asking about the refund that was promised to my husband, and IXXXX XXXX response was that we signed an agreement of no refundable money. That is not true before paying the {$650.00} I asked XXXX if we would get back in a case where the house burns down prior or something because that was our luck. XXXX advised we would get the funds back if the Lon or something were to happen. I have multiple emails, texts from both XXXX and XXXX about the {$650.00} refund. I also advised if an appraisal was needed I would stay with current lender. XXXX advised no appraisal was needed. 

I possess extensive records, including emails and call logs, documenting my persistent efforts to retrieve this promised refund since XX/XX/year>. It is profoundly concerning that a financial institution of Chase 's standing would allow such a straightforward matter to remain unresolved for an extended period, requiring a customer to expend significant time and effort chasing their own funds. 

We intentionally chose Chase for our mortgage application, despite having numerous other options and an exceptional credit history. The manner in which this situation has been handled has severely eroded my trust and confidence in your services. I will be compelled to transition all my banking activities to another institution immediately upon the successful return of my funds. 


I called on XX/XX/year>, and spoke to many customer support staff at Chase. No one knew anything or where to send my call. I sent a complaint into chase through their website to executive. I received a call on XX/XX/year>, from XXXX XXXX XXXX Chase XXXX XXXX XXXX ext. XXXX advising she received my complaint XXXX. I advised I was promised the {$650.00} be returned to me. XXXX XXXX tried to delete all his emails pertaining to the refund. Yet I took screen shots of the information. By this time I am done with Chase and the lies about the lending process. I advised to XXXX I will close my account once my {$650.00} was returned and proceed to a different banking institution for my needs. Never again will I apply for a mortgage with Chase bank or affiliates ever again. I had previous issues with lenders who stole my escrow. XXXX advised she will look into this. As a previously customer who was abruptly stolen from during my lender selling my loan to another lender I do not believe Chase will make this right. 
I request your immediate intervention to ensure the prompt and full processing of the {$650.00} refund ( {$650.00} ) for the hassle my husband and I have abruptly received. I expect a definitive timeline for this resolution and confirmation of its completion without further delay.",MI,2025-10-02
12426506,Credit reporting or other personal consumer reports,Improper use of your report,"is a fraudulent entry and does not accurately reflect my financial history. According to the law, if any information on my credit report is found to be inaccurate or unverifiable, it must either be corrected or removed from my report.

As per 15 U.S.C. 1681e ( b ), I am entitled to have my credit report accurately reflect my true credit history, and under 15 U.S.C. 1681i ( a ) ( 5 ), I am requesting that this fraudulent account be investigated and removed from my report immediately.

Please consider this letter as an official dispute regarding the accuracy of this account. I ask that you conduct an immediate investigation and take the necessary steps to remove this fraudulent account from my credit report. If the account can not be verified as accurate, it must be permanently removed as stipulated under the law.",MD,2025-03-11
12831566,Checking or savings account,Managing an account,"On Friday XXXX XX/XX/year>, My debit card had been stollen after I went to the ATM, criminal withdraw ATM {$300.00} and {$200.00} with my card and paid gas station {$20.00}, I called chase bank fraud department, they opened a claim and declined it for the reason my PIN code had been used. 

I did not authorized these expenses.",FL,2025-04-04
8250194,Checking or savings account,Managing an account,"I need help! 

Every single check I have deposited into ANY of accounts for the last 8+ months have had a 10 day hold placed on them. It doesnt matter which account, whether it be a savings account or a checking account, the bank will easily accept the checks ; however, once deposited, the next day I am notified that Chase Bank has placed a 10 day hold on my deposit. The way I was notified was by logging into my account and seeing that my account had a hold on it. I was not even given the courtesy of an email or a text message saying this had occurred. 

Every single time this occurred, I would call Chase and do everything I could to get the check released. I have been denied access to my own money more times than granted access to it. Every title time I would call I was told I was randomly selected for a 10 day hold. I could understand this if that was truly the case. The Customer Service Representatives say the same statement that its complexly random. On one occasion, the Customer Service Representative told me a check issued by the courts through my Attorney was a fake check. My Attorney had to get involved in this and still, nothing came of it. Every single check Ive deposited has had a hold on it. This is not a random system, I am being discriminated again.

I sell Real Estate and I also own rental properties. On many occasions I will have large sums of money coming and going from my bank accounts. Up until 8 months ago, I have never had an issue with any checks I've ever deposited! 

Now, because of the random out of control 10 day holds Chase Bank has placed on ALL of my accounts, MY BANKS actions, I have resulted in my credit being ruined, having credit cards shut off, having checks bounce and my staff 's payroll was denied. Every single instance this has happened, its all because of Chase Bank placing a 10 day hold on all of my deposits. 

I write to you today because I need help! As a single male I run a few businesses. Others depend on me for their livelihood. Chase Bank is deliberately causing much undue emotional and financial stresses and ruining not only my reputation, their actions are ruining my business.",FL,2024-01-31
